Industry,Firms,Beta,CostofEquity,EquityPct,StdevStock,CostofDebt,TaxRate,AftertaxCostofDebt,DebtPct,CostofCapital,NetIncomeGrowth,RevenueGrowth
Advertising,44,1.08,0.087,0.640,0.710,0.045,0.039,0.027,0.360,0.066,0.008,-0.005
Aerospace/Defense,92,1.33,0.103,0.830,0.469,0.035,0.135,0.021,0.170,0.089,0.126,0.047
Air Transport,20,1.27,0.099,0.589,0.520,0.040,0.183,0.024,0.411,0.068,0.254,0.094
Apparel,63,1.06,0.086,0.782,0.606,0.040,0.138,0.024,0.218,0.073,0.153,0.147
Auto & Truck,19,0.96,0.080,0.439,0.337,0.035,0.080,0.021,0.562,0.047,0.148,0.280
Auto Parts,65,1.29,0.100,0.752,0.551,0.040,0.096,0.024,0.248,0.081,0.245,0.053
Bank (Money Center),9,1.11,0.089,0.316,0.328,0.035,0.258,0.021,0.684,0.043,0.094,0.122
Banks (Regional),644,0.51,0.053,0.560,0.289,0.035,0.241,0.021,0.440,0.039,0.181,0.133
Beverage (Alcoholic),22,0.94,0.079,0.846,0.585,0.040,0.113,0.024,0.154,0.071,0.201,0.095
Beverage (Soft),43,1.15,0.092,0.813,0.546,0.040,0.060,0.024,0.187,0.079,0.037,0.088
Broadcasting,29,1.29,0.100,0.514,0.472,0.035,0.212,0.021,0.487,0.062,0.084,0.091
Brokerage & Investment Banking,42,1.35,0.104,0.259,0.481,0.035,0.182,0.021,0.741,0.043,0.145,0.055
Building Materials,39,1.18,0.093,0.751,0.443,0.035,0.224,0.021,0.249,0.075,0.210,0.094
Business & Consumer Services,159,1.19,0.094,0.739,0.501,0.040,0.138,0.024,0.261,0.076,0.136,0.060
Cable TV,19,1.23,0.097,0.668,0.416,0.035,0.172,0.021,0.332,0.072,0.110,0.061
Chemical (Basic),42,1.17,0.093,0.618,0.542,0.040,0.082,0.024,0.383,0.067,0.292,0.059
Chemical (Diversified),9,1.55,0.116,0.723,0.406,0.035,0.184,0.021,0.277,0.090,0.051,0.050
Chemical (Specialty),104,1.25,0.098,0.761,0.504,0.040,0.085,0.024,0.239,0.080,0.133,0.072
Coal & Related Energy,38,1.49,0.112,0.243,0.868,0.065,0.010,0.039,0.757,0.057,0.065,0.007
